,time,latitude,longitude,frpfire,fire_range
9979467,2022-07-22T00:00:00,-7.25,26.75,6.869940980061246,5-10
9983071,2022-07-22T00:00:00,-7.35,27.15,1.704535839791463,1-5
9983092,2022-07-22T00:00:00,-7.35,29.25,1.3439230551881831,1-5
9986640,2022-07-22T00:00:00,-7.45,24.05,1.0584731226450703,1-5
9986665,2022-07-22T00:00:00,-7.45,26.55,1.468912966479249,1-5
9986666,2022-07-22T00:00:00,-7.45,26.65,13.092974716548458,10-50
9990220,2022-07-22T00:00:00,-7.55,22.05,1.701157734080894,1-5
9990258,2022-07-22T00:00:00,-7.55,25.85,1.8202359603784641,1-5
9990259,2022-07-22T00:00:00,-7.55,25.95,5.27181547015272,5-10
9990278,2022-07-22T00:00:00,-7.55,27.85,1.0246920655393765,1-5
9993861,2022-07-22T00:00:00,-7.65,26.15,1.0990103911719036,1-5
9993874,2022-07-22T00:00:00,-7.65,27.45,1.0953507766521202,1-5
9997461,2022-07-22T00:00:00,-7.75,26.15,2.3855056492804056,1-5
9997464,2022-07-22T00:00:00,-7.75,26.45,1.8776637574581434,1-5
9997465,2022-07-22T00:00:00,-7.75,26.55,2.127080562421849,1-5
10001045,2022-07-22T00:00:00,-7.85,24.55,6.637133194841175,5-10
10001046,2022-07-22T00:00:00,-7.85,24.65,3.4338444547937677,1-5
